Index,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Paperless_Billing,Monthly_Charges,Total_Charges,Internet_Service_DSL,Internet_Service_Fiber optic,Internet_Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment_Method_Bank transfer (automatic),Payment_Method_Credit card (automatic),Payment_Method_Electronic check,Payment_Method_Mailed check,x_kpca_rbf,y_kpca_rbf,z_kpca_rbf
11,1,0,0,1,5,1,0,0,0,0,0,0,0,1,69.7,316.9,0,1,0,1,0,0,0,0,1,0,-0.14586045749388044,0.3853727696284189,-0.02117024861154953
12,1,0,0,1,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,0,1,0,1,0,0,0,0,1,0,-0.2958402156295413,0.018513482441211884,-0.16783940305495174
13,0,0,0,1,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,0,1,0,1,0,0,1,0,0,0,-0.1907710432849445,0.026960690838698252,-0.08658787966302793
14,0,0,0,1,2,1,0,0,0,0,0,1,0,1,80.65,144.15,0,1,0,1,0,0,0,0,1,0,-0.19991690136125959,0.32423383015450963,-0.06064968208994995
15,0,0,0,1,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,0,1,0,1,0,0,0,1,0,0,-0.14679373775432544,-0.012810063812151445,-0.004330867173041784
16,0,1,1,1,8,1,1,0,1,0,0,0,0,1,80.65,633.3,0,1,0,1,0,0,0,1,0,0,-0.11507333496195203,0.03261452244994932,-0.06487496964083013
17,1,1,0,1,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,0,1,0,1,0,0,0,0,1,0,-0.2811953761335985,0.15534632463339995,-0.1965322991219894
18,0,0,0,1,9,1,1,0,0,0,0,1,1,0,94.4,857.25,0,1,0,1,0,0,0,0,1,0,-0.22912646485132104,0.1906902793755386,-0.13064274314723612
19,0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,0,1,0,1,0,0,0,0,1,0,-0.19740715977649875,0.32501135725828345,-0.05849129389075824
20,0,0,1,1,7,1,0,0,0,1,0,0,0,1,75.15,496.9,0,1,0,1,0,0,1,0,0,0,-0.0717075578914848,0.09096671065757922,-0.019307317799606944
21,0,0,0,1,12,1,1,1,0,0,0,0,0,1,78.95,927.35,0,1,0,1,0,0,0,0,1,0,-0.18252986564477097,0.23604886977277484,-0.053078164224220424
22,1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,0,0,1,1,0,0,0,0,0,1,0.44127129086617545,0.277180501811122,0.11312827672069105
23,0,1,1,1,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,0,1,0,1,0,0,0,0,1,0,-0.2379334363699201,0.007960052220640492,-0.13702093897827014
24,1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,0,1,0,0,0,1,1,0,0,0,-0.16233671339921152,-0.321187531110725,-0.037914836102186246
25,1,0,1,1,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,0,1,0,1,0,0,0,0,1,0,-0.2094897607693455,-0.05620469742820575,-0.10498719145858068
26,0,1,1,1,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,0,1,0,1,0,0,0,0,1,0,-0.2002170325307288,0.145307403097023,-0.16685076005872124
27,0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,0,1,0,1,0,0,0,0,1,0,-0.2447190217743275,0.09339990788693023,-0.13011356680115743
28,1,0,0,1,3,1,1,0,0,0,0,0,0,1,74.4,229.55,0,1,0,1,0,0,0,0,1,0,-0.18998543989981778,0.3488363185387913,-0.08601850757606991
29,0,1,0,1,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,0,1,0,1,0,0,0,0,1,0,-0.21258198717153773,0.15545052218959146,-0.12976297310677948
30,0,0,1,0,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,0,0,1,0,0,0,1,0,0,-0.06010519546092617,-0.12952015986394877,0.15522381474457544
31,1,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,0,0,1,0,0,0,0,1,0,-0.03773383232599342,0.12125999834941315,0.2578567216300777
32,1,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,0,0,1,0,0,0,0,1,0,0.03277893988207232,0.34625157378836613,0.28590176703185816
33,0,1,1,1,1,1,0,0,0,0,0,0,0,1,70.45,70.45,0,1,0,1,0,0,0,0,0,1,-0.014461923310016746,0.1424726207157531,0.006359929433158391
34,0,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,0,0,1,0,0,0,0,1,0,-0.09407766808716264,0.0806457277370695,0.16366232904863418
35,1,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,0,0,1,0,0,0,0,1,0,-0.028865782464854235,0.39050169677298,0.28086320351392785
36,1,0,0,1,7,1,1,0,0,0,0,1,1,0,95.0,655.5,0,1,0,1,0,0,0,0,0,1,-0.08271052911920362,0.1046081165010077,-0.019869256376052514
37,0,0,1,1,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,0,1,0,1,0,0,0,0,1,0,-0.13015519675838177,0.12932562336058268,-0.06429998432896099
38,0,0,0,1,4,1,0,0,0,0,0,0,0,1,70.9,273.0,0,1,0,1,0,0,1,0,0,0,-0.05014830674354842,0.20849971280805948,0.010851805729831868
39,1,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,0,0,1,0,0,0,0,1,0,-0.07612101024303765,-0.07335383500833159,0.10012955615869322
40,0,0,1,1,2,1,1,0,0,1,1,1,1,1,104.4,242.8,0,1,0,1,0,0,0,0,1,0,-0.23448057931219649,0.04372617770245188,-0.11338648364185892
41,0,0,1,0,53,1,0,0,0,1,0,1,1,1,94.85,5000.2,0,1,0,0,1,0,1,0,0,0,-0.14814688672915433,-0.17324138100724534,-0.062439991848876705
42,0,1,0,1,15,1,1,0,0,0,0,0,0,1,74.45,1145.7,0,1,0,1,0,0,0,0,0,1,-0.06217585074449667,0.1523516010538034,-0.02449301647397232
43,0,1,0,1,7,1,0,1,0,0,0,0,0,0,76.45,503.6,0,1,0,1,0,0,1,0,0,0,-0.04487024986056169,0.056444158089144464,0.019504678417403665
44,0,0,0,0,1,0,0,0,1,0,0,0,0,0,29.95,29.95,1,0,0,1,0,0,1,0,0,0,0.04185271448887841,0.008717243653248153,0.2378812053334179
45,1,0,0,1,8,1,1,0,0,0,0,0,1,0,84.5,662.65,0,1,0,1,0,0,1,0,0,0,-0.09128361045620777,0.10094804723079993,-0.04469268939665839
46,0,0,0,1,13,1,0,0,1,1,0,0,0,1,79.25,1111.65,0,1,0,1,0,0,0,0,1,0,-0.18319040568424383,0.20432988059041182,-0.029552049234193942
47,0,0,1,0,1,0,0,0,0,0,0,0,0,1,24.8,24.8,1,0,0,1,0,0,0,0,1,0,-0.001878881237144609,0.10724943998977136,0.2489299466192148
48,1,0,1,1,6,1,0,0,1,1,0,0,1,1,91.0,531.0,0,1,0,1,0,0,0,0,1,0,-0.20520319639199344,0.11482583595424645,-0.07435954699237873
49,1,0,0,1,1,1,0,0,0,0,0,0,1,0,79.9,79.9,0,1,0,1,0,0,0,0,1,0,-0.1356922020990818,0.27750894178651897,-0.029444383523818334
50,0,0,0,1,19,1,0,1,0,1,1,1,1,1,106.6,1934.45,0,1,0,1,0,0,0,0,1,0,-0.20968858820954503,0.01144166453068803,-0.03513228261678348
51,1,0,0,0,2,1,0,0,0,0,0,0,0,1,46.0,84.5,1,0,0,1,0,0,0,1,0,0,0.05314592583435586,0.21741548383468107,0.26517872250275254
52,0,0,0,1,4,1,0,0,0,0,0,0,0,1,70.15,268.35,0,1,0,1,0,0,0,0,1,0,-0.14866843030377105,0.3860733503995412,-0.02448653343785541
53,1,0,1,0,4,1,0,0,0,0,1,0,0,0,50.05,179.35,1,0,0,1,0,0,0,0,0,1,0.14107599671107415,0.12838001721871062,0.2979784343568032
54,0,0,1,0,1,1,0,0,0,0,0,1,0,0,55.2,55.2,1,0,0,1,0,0,0,0,0,1,0.11207201383558059,0.15640695625058956,0.24516709651455496
55,1,0,0,1,1,1,0,1,0,0,0,0,1,1,84.6,84.6,0,1,0,1,0,0,0,0,0,1,-0.0402187619025996,0.13383598433258712,0.07503395637983423
56,1,0,0,0,2,1,1,0,1,0,0,0,0,1,54.4,114.1,1,0,0,1,0,0,0,0,0,1,0.04780483811359697,0.18480460047573558,0.26603298654872437
57,0,1,0,1,11,1,0,0,1,0,0,1,1,1,95.0,1120.3,0,1,0,1,0,0,0,0,1,0,-0.23973975386779464,0.1277518447305828,-0.12098531959421605
58,1,1,0,0,15,1,0,0,1,0,0,0,0,1,74.4,1074.3,0,1,0,1,0,0,0,0,1,0,-0.23886789290757518,0.3149545036586744,-0.08111984340306853
59,1,0,0,0,1,1,0,1,0,0,0,0,0,1,48.55,48.55,1,0,0,1,0,0,0,0,0,1,0.11209302971694513,0.20716639425474392,0.36700854620369466
60,0,0,1,0,2,1,0,0,0,0,0,0,0,0,70.4,147.15,0,1,0,1,0,0,0,0,1,0,-0.12940416054198334,0.3967777562539628,-0.03345068915963654
61,1,1,1,0,1,0,0,0,1,0,0,1,0,0,40.2,40.2,1,0,0,1,0,0,0,0,1,0,-0.03953695710904567,-0.00560624464435539,0.14373926257096922
62,0,0,1,0,2,1,0,0,0,0,0,0,0,1,44.6,80.55,1,0,0,1,0,0,0,1,0,0,0.04632730208701101,0.15622786897733884,0.20279802993537402
63,1,1,0,0,3,0,0,0,0,1,0,0,1,1,41.15,132.2,1,0,0,1,0,0,0,0,1,0,-0.06596625522757289,0.033048193821115374,0.16216769373427167
64,1,1,0,0,13,1,1,0,1,1,0,1,1,1,106.9,1364.3,0,1,0,1,0,0,0,0,1,0,-0.33921912201422394,0.11065223861347517,-0.21846094318484893
65,1,0,0,0,59,1,0,0,0,0,0,0,0,0,19.35,1099.6,0,0,1,0,0,1,0,0,0,1,0.398673637468272,0.0069585743722137315,-0.16861057840872148
66,0,1,0,0,16,1,0,0,0,0,1,1,1,1,94.45,1511.2,0,1,0,1,0,0,0,0,1,0,-0.28545927536959,0.18269812126627433,-0.12899095371057492
67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24.8,24.8,1,0,0,1,0,0,1,0,0,0,0.0708689022792005,0.04291268028031858,0.2568829325781892
68,1,0,0,0,1,1,0,0,0,0,0,0,0,0,70.6,70.6,0,1,0,1,0,0,0,0,0,1,0.07980561957266209,0.3560157921207169,0.14039184488656922
69,1,0,1,0,5,1,1,0,1,0,1,0,0,1,85.4,401.1,0,1,0,1,0,0,0,0,1,0,-0.23621929771322703,0.20680353891848433,-0.07737797272808157
70,0,0,1,0,52,1,1,0,1,1,0,1,1,1,105.05,5624.85,0,1,0,1,0,0,0,0,1,0,-0.341606014420736,-0.05582231703693165,-0.21698570439450282
71,1,0,1,0,18,1,0,0,0,1,0,1,1,0,95.15,1779.95,0,1,0,1,0,0,0,0,0,1,-0.11496557566997123,0.07555778044098742,-0.010487817696319696
72,1,0,1,0,1,1,0,0,0,0,0,0,0,0,70.0,70.0,0,1,0,1,0,0,0,0,1,0,-0.126219045882051,0.3972680297976893,-0.02824999800449922
73,1,1,0,0,8,1,0,0,1,0,0,0,0,1,74.5,606.55,0,1,0,1,0,0,0,0,1,0,-0.23359472021873431,0.32324658311654586,-0.07283121730833672
74,1,0,0,0,10,1,0,0,0,0,0,0,0,1,44.85,435.4,1,0,0,1,0,0,0,1,0,0,0.05459013042414995,0.21164177923661753,0.2613450968240154
75,1,1,0,0,24,1,1,0,0,0,0,0,0,1,76.1,1712.7,0,1,0,1,0,0,0,0,1,0,-0.28568600809564254,0.35317368931756826,-0.17703143544516306
76,0,0,0,0,1,1,0,1,0,0,0,0,0,1,73.6,73.6,0,1,0,1,0,0,0,0,0,1,-0.012785699497342602,0.28031302223373755,0.13703164377057467
77,0,1,0,0,4,1,1,0,0,0,0,1,1,1,95.45,396.1,0,1,0,1,0,0,0,0,1,0,-0.3484494514115643,0.2723606000219349,-0.23073503643907572
78,1,1,1,0,32,1,1,0,0,0,0,0,0,1,74.9,2303.35,0,1,0,1,0,0,0,0,1,0,-0.2728464748901373,0.26242413889122795,-0.20594804036411268
79,1,0,0,0,5,1,0,0,0,0,0,1,0,1,80.6,415.55,0,1,0,1,0,0,0,0,1,0,-0.2769363247543239,0.46683035720498,-0.07803358667132249
80,0,0,1,0,38,1,0,1,1,0,1,1,1,0,80.3,3058.65,1,0,0,0,1,0,0,1,0,0,-0.056705222525112814,-0.2267834577917788,0.12997707538725886
81,1,1,1,0,24,1,0,0,0,1,0,1,1,1,93.15,2231.05,0,1,0,1,0,0,0,0,1,0,-0.3143716191216212,0.13071522771907199,-0.19694880814761315
82,0,1,0,0,54,1,1,1,1,0,1,1,1,0,82.45,4350.1,1,0,0,0,1,0,1,0,0,0,-0.07210481078874399,-0.20772183687331683,0.0682832121788624
83,0,1,0,0,2,1,0,0,0,0,0,0,0,1,70.35,139.05,0,1,0,1,0,0,0,0,1,0,-0.2263172878311146,0.41793025684567603,-0.07520970942455771
84,0,0,0,0,7,1,1,0,0,0,0,0,0,1,73.85,511.25,0,1,0,1,0,0,0,0,1,0,-0.2718329833623964,0.49788956839191606,-0.11437697433947722
85,0,0,0,0,2,1,1,0,0,1,0,0,0,0,80.6,155.8,0,1,0,1,0,0,0,0,0,1,-0.03154236292644614,0.22054268928017268,0.05161476881673189
86,1,0,1,0,68,1,1,0,1,1,1,0,1,1,75.8,5293.95,1,0,0,0,1,0,1,0,0,0,-0.08612494070076351,-0.2544573460325564,0.06574399708390738
87,0,0,0,0,43,1,1,0,1,1,0,1,1,1,104.6,4759.85,0,1,0,0,0,1,0,0,1,0,-0.2519192947331347,-0.1229520199270923,-0.1414265364096485
88,1,0,1,0,63,1,1,0,1,1,0,1,1,1,103.4,6603.0,0,1,0,1,0,0,0,0,1,0,-0.31470631066934257,-0.09637166703894498,-0.20075817172727795
89,0,0,0,0,2,1,0,0,0,0,0,1,1,1,90.4,168.2,0,1,0,1,0,0,0,0,1,0,-0.3261066926382765,0.396196154303629,-0.1263106598416367
90,1,0,1,0,4,1,1,0,1,1,0,0,0,1,84.8,371.9,0,1,0,1,0,0,1,0,0,0,-0.16362441356310614,0.08102287136811145,-0.05229907789118208
91,0,1,0,0,21,0,0,1,0,0,0,1,0,1,41.9,840.1,1,0,0,1,0,0,0,0,1,0,-0.060137888132083775,0.017758687669064892,0.1682434741224725
92,0,0,0,0,10,1,0,0,0,0,0,0,1,1,80.25,846.0,0,1,0,1,0,0,1,0,0,0,-0.15228529202530822,0.24999986083916095,-0.01899636048016928
93,1,1,1,0,27,0,0,1,0,0,0,0,0,0,30.75,805.1,1,0,0,1,0,0,0,1,0,0,0.015484401786438076,-0.0616316052665597,0.15603961069713676
94,1,0,0,0,5,1,0,0,0,1,0,1,1,0,96.5,492.55,0,1,0,1,0,0,1,0,0,0,-0.15858055389871423,0.09690359496863486,-0.023335445643949633
95,1,0,0,0,2,1,1,0,0,0,0,1,0,1,85.65,181.5,0,1,0,1,0,0,0,0,1,0,-0.3194303478969006,0.424968135517178,-0.1540327428492513
96,0,0,1,0,25,1,1,0,0,1,1,1,1,1,104.95,2566.5,0,1,0,1,0,0,1,0,0,0,-0.23541237053602038,-0.06442516194395104,-0.09557765902862168
97,1,0,0,0,1,1,0,0,1,0,0,0,0,0,50.65,50.65,1,0,0,1,0,0,0,0,0,1,0.14998819012446807,0.20201452222858957,0.34696513784707805
98,1,0,0,0,1,1,1,0,1,0,0,0,1,1,90.85,90.85,0,1,0,1,0,0,0,1,0,0,-0.1904533108622573,0.14981308256526407,-0.05249708114383728
99,1,1,1,0,11,1,0,0,0,0,0,0,0,0,19.95,214.75,0,0,1,1,0,0,0,0,0,1,0.2700768308026225,0.12704373230813046,0.02162402607170367
100,0,1,1,0,55,1,1,0,1,1,0,0,0,1,85.45,4874.7,0,1,0,1,0,0,0,0,1,0,-0.25387674326685167,0.019597544321069256,-0.16788489572271537
101,0,0,0,0,34,1,0,0,1,0,0,0,0,1,73.95,2524.45,0,1,0,1,0,0,0,1,0,0,-0.1255728507275126,0.16574992651092887,0.0015280985054511194
102,1,0,1,0,69,1,1,0,0,1,0,1,1,1,99.45,7007.6,0,1,0,1,0,0,0,1,0,0,-0.21106540987605787,-0.14882837457541945,-0.11507519506567873
103,0,0,0,0,1,1,0,0,0,0,0,0,0,1,19.9,19.9,0,0,1,1,0,0,0,0,0,1,0.3622693088989324,0.2869917108949734,0.11860835111876813
104,1,0,0,0,1,1,0,0,0,0,0,0,0,1,19.6,19.6,0,0,1,1,0,0,0,0,0,1,0.3685321799803912,0.2906259018727129,0.12796953728544988
105,1,1,0,0,3,1,1,0,1,0,0,0,0,1,81.35,233.7,0,1,0,1,0,0,0,0,1,0,-0.2681263223530115,0.29584298655313407,-0.13405132740285527
106,0,0,1,0,22,1,0,0,1,0,0,0,1,0,83.3,1845.9,0,1,0,1,0,0,0,0,1,0,-0.21721460238437706,0.21280414353169666,-0.08590509275901202
107,0,1,0,0,1,1,0,0,0,1,0,0,0,1,75.3,75.3,0,1,0,1,0,0,1,0,0,0,-0.12648134217733437,0.1618163757205647,-0.0145618864890043
108,0,0,1,0,61,1,0,0,0,0,0,0,0,1,19.4,1182.55,0,0,1,1,0,0,0,0,0,1,0.29942416514804243,0.11590583398310415,-0.028219839087309153
109,1,0,0,0,12,1,0,0,0,0,0,0,0,1,45.4,518.9,1,0,0,1,0,0,1,0,0,0,0.05261291806378632,0.21356729397314891,0.25742154520911587
110,0,0,0,0,60,1,1,0,1,1,0,1,1,1,105.9,6396.45,0,1,0,1,0,0,0,0,1,0,-0.3233181818505759,-0.04685649216481575,-0.1909616464323265
111,0,0,0,0,1,1,0,0,0,0,0,0,0,0,69.55,69.55,0,1,0,1,0,0,0,0,0,1,0.07796103000241161,0.35566491621429336,0.1334183967512202
112,0,0,1,0,28,1,0,0,0,0,0,0,1,1,81.05,2227.1,0,1,0,1,0,0,0,0,1,0,-0.2809822970395777,0.3281438083324987,-0.14410554357275537
113,1,0,1,0,4,1,1,0,0,1,0,1,1,0,101.15,385.9,0,1,0,1,0,0,0,0,1,0,-0.28621861223946204,0.15761258317078666,-0.16704497918696287
114,1,0,0,0,7,1,1,0,1,0,0,1,1,1,99.8,673.25,0,1,0,1,0,0,0,0,1,0,-0.3661727382154699,0.260839659000953,-0.19604350392225367
115,0,0,1,0,13,1,0,0,0,0,0,0,1,0,55.95,734.35,1,0,0,1,0,0,0,0,1,0,-0.0442188412609101,0.21420806702100129,0.1614018200179538
116,1,0,0,0,1,1,0,0,0,0,0,0,1,1,55.0,55.0,1,0,0,1,0,0,0,0,1,0,-0.09190474532707159,0.3303945920404428,0.2185933704290053
117,0,0,1,0,1,1,0,0,1,0,0,0,0,1,74.7,74.7,0,1,0,1,0,0,0,0,1,0,-0.21292645865431145,0.354424258059929,-0.04868043628246678
118,1,0,0,0,24,1,1,0,1,0,0,0,0,1,80.25,1861.5,0,1,0,1,0,0,0,0,1,0,-0.2936825276248857,0.35144352583514543,-0.12729403284179666
119,1,0,0,0,5,1,0,0,0,0,1,1,1,1,96.1,453.4,0,1,0,1,0,0,0,0,1,0,-0.2929025304309847,0.26985015041621313,-0.08181260258856127
120,0,0,0,0,15,1,0,0,0,0,0,0,0,0,69.0,994.8,0,1,0,1,0,0,1,0,0,0,-0.029329167457023006,0.26660318346770184,0.028233111091119548
121,0,0,1,0,48,0,0,1,0,1,0,0,1,1,45.3,2145.0,1,0,0,1,0,0,1,0,0,0,-0.030429796300952848,-0.10896010533457154,0.16373694963315014
122,0,0,1,0,8,1,0,0,1,0,0,1,0,1,83.55,680.05,0,1,0,1,0,0,0,0,1,0,-0.2701861625753412,0.2875762900626541,-0.10152530983848217
123,1,0,0,0,1,1,1,0,0,0,0,0,0,1,74.35,74.35,0,1,0,1,0,0,0,0,1,0,-0.26263624845289496,0.5006114935823447,-0.10108964431530969
124,0,0,1,0,2,1,0,1,0,0,0,0,0,1,74.4,139.4,0,1,0,1,0,0,0,0,1,0,-0.1854982676979266,0.3297678283091038,-0.01498362726458364
125,1,0,0,0,22,0,0,0,1,1,0,0,1,1,43.75,903.6,1,0,0,0,1,0,1,0,0,0,-0.013317917044032498,-0.11783495594773297,0.14676493433420604
126,0,1,0,0,5,0,0,0,1,0,0,0,0,0,28.45,131.05,1,0,0,1,0,0,0,0,1,0,-0.015219127667698371,0.038518634994210946,0.1976133028516301
127,0,0,0,0,12,1,1,1,1,1,0,0,1,1,99.7,1238.45,0,1,0,1,0,0,1,0,0,0,-0.19534780591121848,0.002168539001467573,-0.03123018447470386
128,0,1,0,0,20,1,1,0,1,1,0,0,1,1,94.1,1782.4,0,1,0,1,0,0,0,0,1,0,-0.31514011714004925,0.14443094668397882,-0.18643864674920718
129,1,0,1,0,2,1,0,0,0,0,1,1,1,1,94.2,167.5,0,1,0,1,0,0,0,0,1,0,-0.2740432793164221,0.213326348450357,-0.09653141523906938
130,0,0,1,0,6,1,1,0,0,0,1,0,0,1,80.5,502.85,0,1,0,1,0,0,0,0,1,0,-0.234899720711639,0.2871964534709639,-0.09308558794369051
131,0,1,1,0,5,1,1,0,0,0,0,0,0,1,74.35,334.8,0,1,0,1,0,0,0,0,1,0,-0.2580317196766808,0.3171892564192905,-0.17237613577776909
132,1,0,0,0,40,1,1,0,0,1,1,1,1,0,104.8,4131.95,0,1,0,1,0,0,1,0,0,0,-0.1956427839181128,-0.08576939143524476,-0.05965087463088608
133,0,1,1,0,27,1,0,1,0,0,0,0,0,1,75.2,1929.35,0,1,0,1,0,0,1,0,0,0,-0.11620691596485487,0.07404444299898218,-0.02879631580855182
134,0,0,0,0,23,1,1,0,0,0,0,0,0,0,75.6,1758.6,0,1,0,1,0,0,1,0,0,0,-0.08959705513730314,0.20777264443095378,-0.04450425727077886
135,1,0,1,0,34,1,1,0,0,1,0,1,1,1,100.05,3480.0,0,1,0,1,0,0,0,0,1,0,-0.379069666533303,0.10333642693910504,-0.2524443684838975
136,0,0,0,0,1,1,1,0,0,0,0,0,1,1,85.0,85.0,0,1,0,1,0,0,0,0,1,0,-0.318407627325481,0.4259130195643546,-0.1525590792998526
137,1,0,0,0,10,1,1,0,0,0,0,1,0,1,86.05,834.1,0,1,0,1,0,0,1,0,0,0,-0.19579843993034218,0.21624998245296093,-0.08077592991889346
138,1,0,0,0,13,0,0,1,0,0,1,1,0,1,45.55,597.0,1,0,0,1,0,0,0,1,0,0,-0.014750604189119424,-0.05489248231318536,0.22365739667965703
139,1,0,1,0,39,1,0,0,1,0,0,1,0,1,86.3,3266.0,0,1,0,1,0,0,0,0,0,1,-0.11949983629964164,0.09228690687232032,-0.01148872676434946
140,1,0,0,0,32,1,1,0,1,0,0,0,0,1,80.35,2596.15,0,1,0,1,0,0,1,0,0,0,-0.17363513603697434,0.1385967839637979,-0.06219351116261865
141,0,0,0,0,35,1,1,0,0,1,0,1,1,1,100.25,3527.6,0,1,0,1,0,0,0,0,1,0,-0.3871472293850091,0.15709207017671734,-0.2337909279675619
142,1,0,1,0,56,1,1,0,1,0,0,1,1,0,100.3,5614.45,0,1,0,0,1,0,0,1,0,0,-0.13740691812850203,-0.2030442048574944,-0.06434312241549511
143,0,0,1,0,12,1,0,0,0,0,0,0,0,0,19.0,233.55,0,0,1,1,0,0,0,0,0,1,0.4165822432515384,0.20401009854338473,0.027204139145517392
144,0,0,0,0,1,1,0,1,0,0,0,0,0,0,75.3,75.3,0,1,0,1,0,0,0,0,0,1,0.03960654984163571,0.2478565230375515,0.147071847109821
145,0,1,0,0,4,1,1,0,0,1,0,1,0,1,89.2,346.2,0,1,0,1,0,0,0,0,1,0,-0.30317064046428444,0.23970136496728764,-0.1778556621885214
146,0,1,0,0,1,1,1,0,0,0,0,1,0,1,85.7,85.7,0,1,0,1,0,0,0,0,1,0,-0.3065982711671204,0.3258333803443174,-0.18403671737037164
147,0,0,0,0,12,1,1,1,0,1,1,0,0,1,61.65,713.75,1,0,0,1,0,0,0,0,0,1,-0.0021058942544587103,0.029006639078034573,0.24760362841295244
148,0,1,1,0,65,1,1,1,0,1,0,1,1,0,105.25,6786.4,0,1,0,1,0,0,1,0,0,0,-0.15392077724338454,-0.16632917826567303,-0.0681257886560888
149,1,0,1,0,9,0,0,0,1,0,0,0,0,1,29.95,248.95,1,0,0,1,0,0,0,0,1,0,-0.020395926225367275,0.06440592501615601,0.23829018400870597
150,0,0,1,0,9,1,0,1,1,1,1,0,0,0,65.0,663.05,1,0,0,1,0,0,0,0,0,1,0.02543878729950541,-0.03881224625581269,0.25325994691042075
151,0,0,0,0,7,1,0,0,0,0,0,0,0,0,20.0,137.6,0,0,1,1,0,0,1,0,0,0,0.28087577298265515,0.17655969485898823,0.017591139864864005
152,1,1,1,0,49,1,1,0,1,0,0,0,1,0,90.05,4547.25,0,1,0,1,0,0,0,1,0,0,-0.1590955736764281,-0.06051331992137384,-0.09819805202478511
153,1,1,1,0,43,1,1,0,1,1,1,1,1,1,110.75,4687.9,0,1,0,1,0,0,1,0,0,0,-0.21540216723609273,-0.15918727526038273,-0.10118225672040049
