,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Paperless_Billing,Monthly_Charges,Total_Charges,Internet_Service_DSL,Internet_Service_Fiber optic,Internet_Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment_Method_Bank transfer (automatic),Payment_Method_Credit card (automatic),Payment_Method_Electronic check,Payment_Method_Mailed check,x_kpca_rbf,y_kpca_rbf,z_kpca_rbf,cluster_kpca_rbf
10,0,0,0,0,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,0,0,1,0,0,0,0,0,1,0.046114777688133414,0.16250970689607394,0.2664853691983084,1
11,1,0,0,1,5,1,0,0,0,0,0,0,0,1,69.7,316.9,0,1,0,1,0,0,0,0,1,0,-0.08607741443019076,0.40986299371844076,-0.018040307131261313,2
12,1,0,0,1,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,0,1,0,1,0,0,0,0,1,0,-0.3136233815847007,0.026521611431200614,-0.1723794898286505,2
13,0,0,0,1,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,0,1,0,1,0,0,1,0,0,0,-0.19174711854150958,0.027465540672244316,-0.08622349802439472,2
14,0,0,0,1,2,1,0,0,0,0,0,1,0,1,80.65,144.15,0,1,0,1,0,0,0,0,1,0,-0.15711718294442872,0.3491000385406858,-0.05581020185538211,2
15,0,0,0,1,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,0,1,0,1,0,0,0,1,0,0,-0.14974916796588744,-0.01656167012800811,0.004956449077876473,3
16,0,1,1,1,8,1,1,0,1,0,0,0,0,1,80.65,633.3,0,1,0,1,0,0,0,1,0,0,-0.10623606842195606,0.030653865582610518,-0.06653466906895564,2
17,1,1,0,1,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,0,1,0,1,0,0,0,0,1,0,-0.2753850578402119,0.175755515381032,-0.20077625878386765,2
18,0,0,0,1,9,1,1,0,0,0,0,1,1,0,94.4,857.25,0,1,0,1,0,0,0,0,1,0,-0.2108459639598391,0.20850272090792002,-0.1327836390580504,2
19,0,0,0,1,1,1,0,0,0,0,0,1,0,1,79.35,79.35,0,1,0,1,0,0,0,0,1,0,-0.15414629507369748,0.3496911461418109,-0.05352662094808508,2
20,0,0,1,1,7,1,0,0,0,1,0,0,0,1,75.15,496.9,0,1,0,1,0,0,1,0,0,0,-0.0453349646627049,0.08534755506516707,-0.019759505283189475,2
21,0,0,0,1,12,1,1,1,0,0,0,0,0,1,78.95,927.35,0,1,0,1,0,0,0,0,1,0,-0.15260855775231447,0.2545611663620268,-0.04891802414444343,2
22,1,0,0,0,5,1,0,0,0,0,0,0,0,0,21.05,113.85,0,0,1,1,0,0,0,0,0,1,0.5806460058000703,0.23848838115425278,0.07084418137197297,0
23,0,1,1,1,25,1,0,0,1,1,0,1,1,1,98.5,2514.5,0,1,0,1,0,0,0,0,1,0,-0.2500446687664039,0.013245408285211027,-0.13874279902592992,2
24,1,0,1,0,68,1,1,0,1,1,1,1,1,1,110.0,7611.85,0,1,0,0,0,1,1,0,0,0,-0.2111351805924518,-0.3627892904438287,-0.03772094134264021,3
25,1,0,1,1,55,1,1,1,1,0,0,1,0,1,96.75,5238.9,0,1,0,1,0,0,0,0,1,0,-0.22887394313844214,-0.06032917871421953,-0.10857622030083,3
26,0,1,1,1,37,1,1,0,0,0,0,0,0,1,76.5,2868.15,0,1,0,1,0,0,0,0,1,0,-0.1850425308551545,0.15646866883792215,-0.1762777325398119,2
27,0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,0,1,0,1,0,0,0,0,1,0,-0.24413322609855523,0.10474057711776306,-0.1298467423743852,2
28,1,0,0,1,3,1,1,0,0,0,0,0,0,1,74.4,229.55,0,1,0,1,0,0,0,0,1,0,-0.14225301161478981,0.37421845241363816,-0.08703162731953579,2
29,0,1,0,1,27,1,1,0,0,1,0,0,0,1,78.05,2135.5,0,1,0,1,0,0,0,0,1,0,-0.19840221755807153,0.17002273873676893,-0.1325797112897412,2
30,0,0,1,0,25,0,0,1,1,1,0,1,1,1,58.6,1502.65,1,0,0,1,0,0,0,1,0,0,-0.06885080446532899,-0.1488030718050332,0.18854809800817876,3
31,1,0,0,0,1,0,0,0,0,0,0,0,1,1,35.45,35.45,1,0,0,1,0,0,0,0,1,0,-0.005322512687897468,0.12187807702189746,0.300196044617962,1
32,1,0,0,0,2,1,0,0,0,0,0,0,0,0,44.35,81.25,1,0,0,1,0,0,0,0,1,0,0.11243739185944601,0.3535517719635817,0.3191460497693333,1
33,0,1,1,1,1,1,0,0,0,0,0,0,0,1,70.45,70.45,0,1,0,1,0,0,0,0,0,1,0.02713081829475427,0.13953558861079057,0.0029806995067573616,1
34,0,0,0,0,8,1,1,1,0,0,1,0,1,0,71.15,563.65,1,0,0,1,0,0,0,0,1,0,-0.0753992177516754,0.08073018466675193,0.19721743940503142,1
35,1,0,0,0,1,1,0,0,0,0,0,0,0,1,45.65,45.65,1,0,0,1,0,0,0,0,1,0,0.04858115615279005,0.4061414048369446,0.32008901207862134,1
36,1,0,0,1,7,1,1,0,0,0,0,1,1,0,95.0,655.5,0,1,0,1,0,0,0,0,0,1,-0.05695911516462784,0.10458885132361088,-0.022025180380008436,2
37,0,0,1,1,20,1,1,1,0,0,0,0,0,0,82.4,1592.35,0,1,0,1,0,0,0,0,1,0,-0.10823595668892637,0.13346848088554455,-0.06615538539920422,2
38,0,0,0,1,4,1,0,0,0,0,0,0,0,1,70.9,273.0,0,1,0,1,0,0,1,0,0,0,-0.002673139461608742,0.210561867640138,0.011079393085182193,2
39,1,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,0,0,1,0,0,0,0,1,0,-0.08035017806842036,-0.08334431098485397,0.12439763572161307,3
40,0,0,1,1,2,1,1,0,0,1,1,1,1,1,104.4,242.8,0,1,0,1,0,0,0,0,1,0,-0.2400694795161823,0.05085120372153609,-0.11101611576390008,2
41,0,0,1,0,53,1,0,0,0,1,0,1,1,1,94.85,5000.2,0,1,0,0,1,0,1,0,0,0,-0.1727809084346273,-0.1987323725282643,-0.06522041752839337,3
42,0,1,0,1,15,1,1,0,0,0,0,0,0,1,74.45,1145.7,0,1,0,1,0,0,0,0,0,1,-0.026264845429617923,0.1544024763087837,-0.028227583673560225,2
43,0,1,0,1,7,1,0,1,0,0,0,0,0,0,76.45,503.6,0,1,0,1,0,0,1,0,0,0,-0.02383576550638543,0.05211406572646471,0.022777190199613877,1
44,0,0,0,0,1,0,0,0,1,0,0,0,0,0,29.95,29.95,1,0,0,1,0,0,1,0,0,0,0.06830933154398977,-0.0054207612766278696,0.2720606654625984,1
45,1,0,0,1,8,1,1,0,0,0,0,0,1,0,84.5,662.65,0,1,0,1,0,0,1,0,0,0,-0.06720469283216195,0.0994778122345317,-0.04851021868282222,2
46,0,0,0,1,13,1,0,0,1,1,0,0,0,1,79.25,1111.65,0,1,0,1,0,0,0,0,1,0,-0.15758708165702395,0.21946343090447307,-0.02196613117296423,2
47,0,0,1,0,1,0,0,0,0,0,0,0,0,1,24.8,24.8,1,0,0,1,0,0,0,0,1,0,0.03393026828443071,0.10294867694017866,0.28832469229763813,1
48,1,0,1,1,6,1,0,0,1,1,0,0,1,1,91.0,531.0,0,1,0,1,0,0,0,0,1,0,-0.19613194787283567,0.12475607951861238,-0.07019983568322091,2
49,1,0,0,1,1,1,0,0,0,0,0,0,1,0,79.9,79.9,0,1,0,1,0,0,0,0,1,0,-0.09190592347723833,0.29419352041184865,-0.02763668588646297,2
50,0,0,0,1,19,1,0,1,0,1,1,1,1,1,106.6,1934.45,0,1,0,1,0,0,0,0,1,0,-0.21837882654825888,0.014588300137311026,-0.02500902533668336,2
51,1,0,0,0,2,1,0,0,0,0,0,0,0,1,46.0,84.5,1,0,0,1,0,0,0,1,0,0,0.11736347793661464,0.21289735021459483,0.29626937783159657,1
52,0,0,0,1,4,1,0,0,0,0,0,0,0,1,70.15,268.35,0,1,0,1,0,0,0,0,1,0,-0.08912523007117923,0.4098951252142424,-0.020715389472184712,2
53,1,0,1,0,4,1,0,0,0,0,1,0,0,0,50.05,179.35,1,0,0,1,0,0,0,0,0,1,0.20454486173724087,0.10819231783506167,0.3251972093783352,1
54,0,0,1,0,1,1,0,0,0,0,0,1,0,0,55.2,55.2,1,0,0,1,0,0,0,0,0,1,0.17660505992570158,0.14070254830575735,0.26677543883525634,1
55,1,0,0,1,1,1,0,1,0,0,0,0,1,1,84.6,84.6,0,1,0,1,0,0,0,0,0,1,-0.005493701287025831,0.13395800319705028,0.0832338294358151,1
56,1,0,0,0,2,1,1,0,1,0,0,0,0,1,54.4,114.1,1,0,0,1,0,0,0,0,0,1,0.10474875002017327,0.17982066004263902,0.2955552287453194,1
57,0,1,0,1,11,1,0,0,1,0,0,1,1,1,95.0,1120.3,0,1,0,1,0,0,0,0,1,0,-0.2335630607538042,0.1438895670166706,-0.11800977733443276,2
58,1,1,0,0,15,1,0,0,1,0,0,0,0,1,74.4,1074.3,0,1,0,1,0,0,0,0,1,0,-0.2031918185606391,0.34261839837094626,-0.07483608205398683,2
59,1,0,0,0,1,1,0,1,0,0,0,0,0,1,48.55,48.55,1,0,0,1,0,0,0,0,0,1,0.18184648067846163,0.1987883601437624,0.40534612026544775,1
60,0,0,1,0,2,1,0,0,0,0,0,0,0,0,70.4,147.15,0,1,0,1,0,0,0,0,1,0,-0.06335119958026893,0.41618000509760633,-0.03244381312348028,2
61,1,1,1,0,1,0,0,0,1,0,0,1,0,0,40.2,40.2,1,0,0,1,0,0,0,0,1,0,-0.02888287498668971,-0.01166595554134937,0.17010434083623358,1
62,0,0,1,0,2,1,0,0,0,0,0,0,0,1,44.6,80.55,1,0,0,1,0,0,0,1,0,0,0.10109722464540408,0.1456776654979662,0.22827162019765324,1
63,1,1,0,0,3,0,0,0,0,1,0,0,1,1,41.15,132.2,1,0,0,1,0,0,0,0,1,0,-0.052493375868971265,0.03127864516549784,0.19267088873563043,1
64,1,1,0,0,13,1,1,0,1,1,0,1,1,1,106.9,1364.3,0,1,0,1,0,0,0,0,1,0,-0.34515081577645185,0.13058800725166705,-0.21940714838230474,2
65,1,0,0,0,59,1,0,0,0,0,0,0,0,0,19.35,1099.6,0,0,1,0,0,1,0,0,0,1,0.4955652802979883,-0.06110695406357573,-0.23877477918009063,0
66,0,1,0,0,16,1,0,0,0,0,1,1,1,1,94.45,1511.2,0,1,0,1,0,0,0,0,1,0,-0.2752386374910291,0.20398618590379464,-0.12270909166114789,2
67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,24.8,24.8,1,0,0,1,0,0,1,0,0,0,0.1071320775669566,0.0277462205541857,0.2889883968989797,1
68,1,0,0,0,1,1,0,0,0,0,0,0,0,0,70.6,70.6,0,1,0,1,0,0,0,0,0,1,0.16937601723012208,0.35694550178673357,0.13856760927229916,1
69,1,0,1,0,5,1,1,0,1,0,1,0,0,1,85.4,401.1,0,1,0,1,0,0,0,0,1,0,-0.21612248094360742,0.22444402376790137,-0.06997666017561191,2
70,0,0,1,0,52,1,1,0,1,1,0,1,1,1,105.05,5624.85,0,1,0,1,0,0,0,0,1,0,-0.37323175589080637,-0.05401035523428669,-0.22598125172990954,2
71,1,0,1,0,18,1,0,0,0,1,0,1,1,0,95.15,1779.95,0,1,0,1,0,0,0,0,0,1,-0.09593331185507856,0.07213110080586609,-0.008622422980537031,2
72,1,0,1,0,1,1,0,0,0,0,0,0,0,0,70.0,70.0,0,1,0,1,0,0,0,0,1,0,-0.06029765197342737,0.41652401593416344,-0.02785226622344518,2
73,1,1,0,0,8,1,0,0,1,0,0,0,0,1,74.5,606.55,0,1,0,1,0,0,0,0,1,0,-0.19607365540657765,0.35108157667236956,-0.0655693400565199,2
74,1,0,0,0,10,1,0,0,0,0,0,0,0,1,44.85,435.4,1,0,0,1,0,0,0,1,0,0,0.11831434897601474,0.20541846399667957,0.29172491764579556,1
75,1,1,0,0,24,1,1,0,0,0,0,0,0,1,76.1,1712.7,0,1,0,1,0,0,0,0,1,0,-0.2487869401299576,0.38463328727944274,-0.17949537687571016,2
76,0,0,0,0,1,1,0,1,0,0,0,0,0,1,73.6,73.6,0,1,0,1,0,0,0,0,0,1,0.050020660878538015,0.2864413724367521,0.148835574118802,1
77,0,1,0,0,4,1,1,0,0,0,0,1,1,1,95.45,396.1,0,1,0,1,0,0,0,0,1,0,-0.3303051546162882,0.3031856005939729,-0.22977539959831725,2
78,1,1,1,0,32,1,1,0,0,0,0,0,0,1,74.9,2303.35,0,1,0,1,0,0,0,0,1,0,-0.24734314235179883,0.28515971568935106,-0.213109190886909,2
79,1,0,0,0,5,1,0,0,0,0,0,1,0,1,80.6,415.55,0,1,0,1,0,0,0,0,1,0,-0.22081236684004318,0.5035756722081369,-0.06977174761791742,2
80,0,0,1,0,38,1,0,1,1,0,1,1,1,0,80.3,3058.65,1,0,0,0,1,0,0,1,0,0,-0.0763405916356111,-0.262909913231152,0.15813928029724192,3
81,1,1,1,0,24,1,0,0,0,1,0,1,1,1,93.15,2231.05,0,1,0,1,0,0,0,0,1,0,-0.31374522013304484,0.14825167584076043,-0.19824002188874434,2
82,0,1,0,0,54,1,1,1,1,0,1,1,1,0,82.45,4350.1,1,0,0,0,1,0,1,0,0,0,-0.09493059797158483,-0.2353143564343169,0.08511167340524999,3
83,0,1,0,0,2,1,0,0,0,0,0,0,0,1,70.35,139.05,0,1,0,1,0,0,0,0,1,0,-0.17235448452284086,0.44934033690262415,-0.06875642032240546,2
84,0,0,0,0,7,1,1,0,0,0,0,0,0,1,73.85,511.25,0,1,0,1,0,0,0,0,1,0,-0.21024460712592627,0.5360085220708001,-0.11132776012436954,2
85,0,0,0,0,2,1,1,0,0,1,0,0,0,0,80.6,155.8,0,1,0,1,0,0,0,0,0,1,0.02011737563415147,0.22245465155732055,0.05241753807383163,1
86,1,0,1,0,68,1,1,0,1,1,1,0,1,1,75.8,5293.95,1,0,0,0,1,0,1,0,0,0,-0.11484454277709924,-0.2914260136079309,0.08334202359944773,3
87,0,0,0,0,43,1,1,0,1,1,0,1,1,1,104.6,4759.85,0,1,0,0,0,1,0,0,1,0,-0.281752470226091,-0.13633553790265765,-0.1467112203710696,3
88,1,0,1,0,63,1,1,0,1,1,0,1,1,1,103.4,6603.0,0,1,0,1,0,0,0,0,1,0,-0.34961763856409195,-0.09851647400680903,-0.21076535352420883,3
89,0,0,0,0,2,1,0,0,0,0,0,1,1,1,90.4,168.2,0,1,0,1,0,0,0,0,1,0,-0.28622775354273156,0.4316179614669376,-0.11720842496524794,2
90,1,0,1,0,4,1,1,0,1,1,0,0,0,1,84.8,371.9,0,1,0,1,0,0,1,0,0,0,-0.15139401138347158,0.08194700123026495,-0.04909962147848056,2
91,0,1,0,0,21,0,0,1,0,0,0,1,0,1,41.9,840.1,1,0,0,1,0,0,0,0,1,0,-0.04854976007819815,0.014476740410006884,0.2001572827358108,1
92,0,0,0,0,10,1,0,0,0,0,0,0,1,1,80.25,846.0,0,1,0,1,0,0,1,0,0,0,-0.11139126298014226,0.2607313535670407,-0.013504513231687824,2
93,1,1,1,0,27,0,0,1,0,0,0,0,0,0,30.75,805.1,1,0,0,1,0,0,0,1,0,0,0.026215105552544183,-0.07831451563715967,0.18022158797731916,1
94,1,0,0,0,5,1,0,0,0,1,0,1,1,0,96.5,492.55,0,1,0,1,0,0,1,0,0,0,-0.14354377195086726,0.10008700626890231,-0.01765747926045993,2
95,1,0,0,0,2,1,1,0,0,0,0,1,0,1,85.65,181.5,0,1,0,1,0,0,0,0,1,0,-0.27499925157025407,0.46234066215093156,-0.1507489736178831,2
96,0,0,1,0,25,1,1,0,0,1,1,1,1,1,104.95,2566.5,0,1,0,1,0,0,1,0,0,0,-0.2531869053064174,-0.07163058368762448,-0.0928289302480477,3
97,1,0,0,0,1,1,0,0,1,0,0,0,0,0,50.65,50.65,1,0,0,1,0,0,0,0,0,1,0.2240266843204611,0.18836213210790886,0.37602071677750176,1
98,1,0,0,0,1,1,1,0,1,0,0,0,1,1,90.85,90.85,0,1,0,1,0,0,0,1,0,0,-0.17162587706310664,0.1602387600563257,-0.04699128568580217,2
99,1,1,1,0,11,1,0,0,0,0,0,0,0,0,19.95,214.75,0,0,1,1,0,0,0,0,0,1,0.3537143118395042,0.09366342158163486,-0.01046171267788513,0
100,0,1,1,0,55,1,1,0,1,1,0,0,0,1,85.45,4874.7,0,1,0,1,0,0,0,0,1,0,-0.26453088570008304,0.02530463319188591,-0.1737037310711527,2
101,0,0,0,0,34,1,0,0,1,0,0,0,0,1,73.95,2524.45,0,1,0,1,0,0,0,1,0,0,-0.09446887887997227,0.1691952791481302,0.006973432465917208,2
102,1,0,1,0,69,1,1,0,0,1,0,1,1,1,99.45,7007.6,0,1,0,1,0,0,0,1,0,0,-0.24009938081937626,-0.1628368368967754,-0.12044205613919848,3
103,0,0,0,0,1,1,0,0,0,0,0,0,0,1,19.9,19.9,0,0,1,1,0,0,0,0,0,1,0.4860936220351417,0.2567486849007173,0.08744748241348962,0
104,1,0,0,0,1,1,0,0,0,0,0,0,0,1,19.6,19.6,0,0,1,1,0,0,0,0,0,1,0.4933044859761742,0.2600300475057783,0.09626770677618268,0
105,1,1,0,0,3,1,1,0,1,0,0,0,0,1,81.35,233.7,0,1,0,1,0,0,0,0,1,0,-0.2386331543552277,0.32384798178090285,-0.13026288782581358,2
106,0,0,1,0,22,1,0,0,1,0,0,0,1,0,83.3,1845.9,0,1,0,1,0,0,0,0,1,0,-0.19171929492960876,0.2268921910003612,-0.08264409423317438,2
107,0,1,0,0,1,1,0,0,0,1,0,0,0,1,75.3,75.3,0,1,0,1,0,0,1,0,0,0,-0.09873598078335619,0.16866029159001497,-0.009425942598019573,2
108,0,0,1,0,61,1,0,0,0,0,0,0,0,1,19.4,1182.55,0,0,1,1,0,0,0,0,0,1,0.38976146006541273,0.07380016307451663,-0.06787515733073968,0
109,1,0,0,0,12,1,0,0,0,0,0,0,0,1,45.4,518.9,1,0,0,1,0,0,1,0,0,0,0.11532634747353862,0.2061867007361422,0.28688967178741503,1
110,0,0,0,0,60,1,1,0,1,1,0,1,1,1,105.9,6396.45,0,1,0,1,0,0,0,0,1,0,-0.35206311842187116,-0.04285808410071087,-0.19806287960745061,2
111,0,0,0,0,1,1,0,0,0,0,0,0,0,0,69.55,69.55,0,1,0,1,0,0,0,0,0,1,0.16682118897984183,0.35550519625905347,0.13185552655203872,1
112,0,0,1,0,28,1,0,0,0,0,0,0,1,1,81.05,2227.1,0,1,0,1,0,0,0,0,1,0,-0.24487569468418136,0.3523660823582556,-0.1433888954652034,2
113,1,0,1,0,4,1,1,0,0,1,0,1,1,0,101.15,385.9,0,1,0,1,0,0,0,0,1,0,-0.2774626607738626,0.17432209778901314,-0.16740822784472562,2
114,1,0,0,0,7,1,1,0,1,0,0,1,1,1,99.8,673.25,0,1,0,1,0,0,0,0,1,0,-0.35190782262483583,0.2912309224721548,-0.1928049995980863,2
115,0,0,1,0,13,1,0,0,0,0,0,0,1,0,55.95,734.35,1,0,0,1,0,0,0,0,1,0,0.00510995731857045,0.2146539019670182,0.18817492455969198,1
116,1,0,0,0,1,1,0,0,0,0,0,0,1,1,55.0,55.0,1,0,0,1,0,0,0,0,1,0,-0.03316808842800167,0.3454187750410076,0.25483276175305725,1
117,0,0,1,0,1,1,0,0,1,0,0,0,0,1,74.7,74.7,0,1,0,1,0,0,0,0,1,0,-0.1658909026674692,0.3782648924898744,-0.03984748398784012,2
118,1,0,0,0,24,1,1,0,1,0,0,0,0,1,80.25,1861.5,0,1,0,1,0,0,0,0,1,0,-0.25784334379281815,0.38197816084173536,-0.12490894662307052,2
119,1,0,0,0,5,1,0,0,0,0,1,1,1,1,96.1,453.4,0,1,0,1,0,0,0,0,1,0,-0.2695818405852847,0.29575119484993406,-0.07027960733678129,2
120,0,0,0,0,15,1,0,0,0,0,0,0,0,0,69.0,994.8,0,1,0,1,0,0,1,0,0,0,0.030930553676613765,0.2671841843429051,0.02687339494382013,1
121,0,0,1,0,48,0,0,1,0,1,0,0,1,1,45.3,2145.0,1,0,0,1,0,0,1,0,0,0,-0.031665921943995166,-0.12902482455877626,0.19503366127138716,3
122,0,0,1,0,8,1,0,0,1,0,0,1,0,1,83.55,680.05,0,1,0,1,0,0,0,0,1,0,-0.23994081005592735,0.3107342648537744,-0.09415733878086545,2
123,1,0,0,0,1,1,1,0,0,0,0,0,0,1,74.35,74.35,0,1,0,1,0,0,0,0,1,0,-0.2000220927200636,0.53776624362766,-0.09766073567216409,2
124,0,0,1,0,2,1,0,1,0,0,0,0,0,1,74.4,139.4,0,1,0,1,0,0,0,0,1,0,-0.1396996171647703,0.3506474855065246,-0.004271276096386096,2
125,1,0,0,0,22,0,0,0,1,1,0,0,1,1,43.75,903.6,1,0,0,0,1,0,1,0,0,0,-0.014530033374525816,-0.13946169002754413,0.1726330787802071,3
126,0,1,0,0,5,0,0,0,1,0,0,0,0,0,28.45,131.05,1,0,0,1,0,0,0,0,1,0,0.005235410648048369,0.03354351535740325,0.2283232655183628,1
127,0,0,0,0,12,1,1,1,1,1,0,0,1,1,99.7,1238.45,0,1,0,1,0,0,1,0,0,0,-0.2001390343947656,0.0013547053943327697,-0.022160729727866882,3
128,0,1,0,0,20,1,1,0,1,1,0,0,1,1,94.1,1782.4,0,1,0,1,0,0,0,0,1,0,-0.3128809620436929,0.16412461616087096,-0.1855023648561332,2
129,1,0,1,0,2,1,0,0,0,0,1,1,1,1,94.2,167.5,0,1,0,1,0,0,0,0,1,0,-0.25636796758910757,0.23298838643587347,-0.08771548745148139,2
130,0,0,1,0,6,1,1,0,0,0,1,0,0,1,80.5,502.85,0,1,0,1,0,0,0,0,1,0,-0.20115462432928646,0.3077665466849544,-0.087852478373493,2
131,0,1,1,0,5,1,1,0,0,0,0,0,0,1,74.35,334.8,0,1,0,1,0,0,0,0,1,0,-0.22211191077478137,0.34206484489317684,-0.17351192260533635,2
132,1,0,0,0,40,1,1,0,0,1,1,1,1,0,104.8,4131.95,0,1,0,1,0,0,1,0,0,0,-0.21294119002072323,-0.09513457201919998,-0.05709339132091298,3
133,0,1,1,0,27,1,0,1,0,0,0,0,0,1,75.2,1929.35,0,1,0,1,0,0,1,0,0,0,-0.10025800460480093,0.07238161482852226,-0.025712405291215858,2
134,0,0,0,0,23,1,1,0,0,0,0,0,0,0,75.6,1758.6,0,1,0,1,0,0,1,0,0,0,-0.04679022776906329,0.20894441792257537,-0.050032188522947274,2
135,1,0,1,0,34,1,1,0,0,1,0,1,1,1,100.05,3480.0,0,1,0,1,0,0,0,0,1,0,-0.38834199486183807,0.1192446852453052,-0.2589550618491643,2
136,0,0,0,0,1,1,1,0,0,0,0,0,1,1,85.0,85.0,0,1,0,1,0,0,0,0,1,0,-0.27316828931624376,0.4620306433089274,-0.14777848577495492,2
137,1,0,0,0,10,1,1,0,0,0,0,1,0,1,86.05,834.1,0,1,0,1,0,0,1,0,0,0,-0.16625881642862383,0.2280875138944912,-0.0802588415576926,2
138,1,0,0,0,13,0,0,1,0,0,1,1,0,1,45.55,597.0,1,0,0,1,0,0,0,1,0,0,-0.006907068663503763,-0.06924850662552201,0.26106261333961295,1
139,1,0,1,0,39,1,0,0,1,0,0,1,0,1,86.3,3266.0,0,1,0,1,0,0,0,0,0,1,-0.09871250589181309,0.08928335950800141,-0.009935094978764353,2
140,1,0,0,0,32,1,1,0,1,0,0,0,0,1,80.35,2596.15,0,1,0,1,0,0,1,0,0,0,-0.15347477951223326,0.14278791714200345,-0.06232851609720697,2
141,0,0,0,0,35,1,1,0,0,1,0,1,1,1,100.25,3527.6,0,1,0,1,0,0,0,0,1,0,-0.390116280196825,0.17884214220083197,-0.23710465018201746,2
142,1,0,1,0,56,1,1,0,1,0,0,1,1,0,100.3,5614.45,0,1,0,0,1,0,0,1,0,0,-0.16445547272704028,-0.2286233801803047,-0.06776005848586786,3
143,0,0,1,0,12,1,0,0,0,0,0,0,0,0,19.0,233.55,0,0,1,1,0,0,0,0,0,1,0.5366658328664141,0.15679847569297437,-0.019328624093375504,0
144,0,0,0,0,1,1,0,1,0,0,0,0,0,0,75.3,75.3,0,1,0,1,0,0,0,0,0,1,0.10375692502090095,0.24609237738733308,0.15411543435832992,1
145,0,1,0,0,4,1,1,0,0,1,0,1,0,1,89.2,346.2,0,1,0,1,0,0,0,0,1,0,-0.28471776605583804,0.26456505511412143,-0.17519767798541758,2
146,0,1,0,0,1,1,1,0,0,0,0,1,0,1,85.7,85.7,0,1,0,1,0,0,0,0,1,0,-0.27555347641165673,0.3562379662634004,-0.18136143650080946,2
147,0,0,0,0,12,1,1,1,0,1,1,0,0,1,61.65,713.75,1,0,0,1,0,0,0,0,0,1,0.022216463633320947,0.016254526126370263,0.28271367469740766,1
148,0,1,1,0,65,1,1,1,0,1,0,1,1,0,105.25,6786.4,0,1,0,1,0,0,1,0,0,0,-0.1806744216124495,-0.18135960060911735,-0.07008220717785864,3
149,1,0,1,0,9,0,0,0,1,0,0,0,0,1,29.95,248.95,1,0,0,1,0,0,0,0,1,0,0.005064035780455229,0.05830298169815042,0.27675850278030784,1
150,0,0,1,0,9,1,0,1,1,1,1,0,0,0,65.0,663.05,1,0,0,1,0,0,0,0,0,1,0.04378560890109947,-0.060031458607911314,0.2892154708909576,1
